Index,vccs_course,vt_course,uva_course,gmu_course
77,EGR 125,ECE 1004 + ECE 2514 + ECE Elective,CS 1110 ,ENGR 125T
78,EGR 126,CS Elective,CS 1110 ,ENGR Elective
79,EGR 127,CS Elective or CS 1044,No Equivalency,CS Elective
80,EGR 130,ENGR Elective,No Equivalency,ENGR Elective
81,EGR 135,ENGR Elective,No Equivalency,CEIE 210 & ME 211
82,EGR 136,ENGR Elective,No Equivalency,CEIE L310 & ME 212
83,EGR 140,ESM 2104,MAE 2300 ,CEIE 210 & ME 211
84,EGR 190,No Equivalency,No Equivalency,GENL Elective
85,EGR 195,No Equivalency,No Equivalency,GENL Elective
86,EGR 206,ISE 2014 OR ISE 2014 + ISE Elective,CE 2020 ,SYST L375
87,EGR 216,ENGR Elective,No Equivalency,GENL Elective
